policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,num_heavy_vehicles,late_payment_count,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-015045,INS-00542,2023-06-23,2023-01-22,2024-01-22,APD,5,6.3,4,47.4,18.7,92.5,Trucking,CO,0,0,0.0,2500,100,21124.23,Monthly,58.93,0,0.0,,,,
POL-015046,INS-00342,2024-04-04,2023-12-06,2024-12-05,APD,7,5.6,2,46.6,1.9,92.4,Service,AZ,0,0,,500,300,11392.76,Monthly,65.07,2,0.0,,,,
POL-015047,INS-00530,2023-10-21,2023-06-17,2024-06-16,APD,8,3.9,11,47.4,2.1,477.1,Retail,CA,0,3,7260.96,5000,100,7568.56,Annual,18.99,1,,,,,
POL-015048,INS-00518,2023-03-26,2022-11-14,2023-11-14,APD,6,4.2,5,45.5,6.2,195.6,Service,TX,1,0,4215.23,250,100,16361.19,,5.15,1,1.0,,,,
POL-015049,INS-00075,2023-08-13,2023-08-07,2024-08-06,APD,6,5.1,9,,9.9,54.2,Retail,NC,0,0,0.0,500,100,6422.91,Monthly,78.85,0,2.0,,,,
POL-015050,INS-00249,2023-03-09,2023-01-22,2024-01-22,APD,10,3.5,3,40.1,18.8,110.3,Retail,NC,2,2,190601.39,1000,500,6375.23,Monthly,49.74,2,0.0,,,,
POL-015051,INS-00097,2024-06-15,2024-01-28,2025-01-27,APD,14,5.8,4,38.3,25.9,,retail,WA,1,1,11928.88,2500,1000,9387.03,Monthly,28.19,3,0.0,,,,
POL-015052,INS-00121,2023-10-09,2023-09-19,2024-09-18,APD,9,0.1,8,40.0,19.0,87.5,Other,CA,1,0,3093.93,1000,300,6399.93,Monthly,80.89,1,1.0,,,,
POL-015053,INS-00747,2023-05-01,2023-03-09,2024-03-08,APD,5,4.7,13,54.2,3.0,87.9,Trucking,AZ,1,0,32663.16,500,300,6719.11,Quarterly,37.31,0,0.0,,,,
POL-015054,INS-00252,2023-12-19,2023-12-10,2024-12-09,APD,11,5.9,4,42.1,4.8,240.4,Trucking,NC,1,1,10367.44,2500,100,9149.75,Annual,55.38,1,0.0,,,,
POL-015055,INS-00405,2023-09-05,2023-06-17,2024-06-16,APD,8,4.8,4,,10.1,204.3,Trucking,FL,0,0,0.0,2500,300,2236.18,Annual,26.24,3,1.0,,,,
POL-015056,INS-00570,2023-11-20,2023-05-25,2024-05-24,APD,11,3.3,7,40.7,5.0,403.9,Trucking,GA,1,0,10527.61,1000,300,13417.9,Annual,22.46,2,0.0,,,,
POL-015057,INS-00141,2023-10-26,2023-09-23,2024-09-22,APD,8,3.7,4,31.2,2.2,473.9,Service,AZ,1,1,9777.51,1000,1000,12912.42,Quarterly,50.82,1,1.0,,,,
POL-015058,INS-00032,2023-12-04,2023-11-06,2024-11-05,APD,5,3.0,5,27.8,1.0,222.7,Trucking,AZ,1,1,118697.35,1000,300,4938.53,Annual,83.96,0,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015059,INS-00042,2023-11-01,2023-10-15,2024-10-14,APD,6,5.3,7,53.8,16.9,146.6,service,TX,0,1,,500,100,10096.31,Annual,35.22,1,0.0,,,,
POL-015060,INS-00568,2023-01-13,2022-08-01,2023-08-01,APD,8,3.7,2,34.6,7.4,201.5,Trucking,CA,0,0,0.0,250,300,4595.8,Monthly,67.18,1,1.0,,,,
POL-015061,INS-00142,2024-03-07,2023-10-14,2024-10-13,APD,10,1.5,8,36.7,2.1,791.6,Trucking,CO,0,0,0.0,500,500,11816.71,Quarterly,7.41,0,0.0,,,,
POL-015062,INS-00726,2023-02-23,2022-10-02,2023-10-02,APD,10,6.5,6,30.3,3.2,388.5,CONSTRUCTION,CA,0,0,0.0,500,500,11881.57,Quarterly,36.59,2,1.0,,,,
POL-015063,INS-00646,2024-01-12,2023-09-13,2024-09-12,APD,7,7.8,5,36.0,4.9,406.8,Other,FL,0,0,0.0,1000,1000,4306.14,Quarterly,67.83,0,1.0,,,,
POL-015064,INS-00209,2023-11-10,2023-05-31,2024-05-30,APD,5,7.4,5,28.3,1.7,112.0,Retail,AZ,0,0,0.0,2500,300,14149.79,Monthly,89.69,1,0.0,,,,
POL-015065,INS-00558,2024-02-11,2023-12-06,2024-12-05,APD,12,4.9,2,38.5,3.4,135.3,Retail,FL,3,1,72773.81,1000,100,6206.01,Annual,,3,1.0,9999-01-01,-999.0,INVALID,-999.0
POL-015066,INS-00073,2023-01-31,2023-01-29,2024-01-29,APD,9,5.4,9,25.8,28.9,230.1,Construction,WA,0,1,6740.91,2500,100,7453.28,,28.73,2,1.0,9999-01-01,-999.0,INVALID,-999.0
POL-015067,INS-00315,2023-10-07,2023-05-10,2024-05-09,APD,3,4.8,5,50.4,2.4,71.3,construction,CA,0,0,0.0,1000,300,11401.72,Annual,55.8,1,2.0,,,,
POL-015068,INS-00572,2023-11-20,2023-06-23,2024-06-22,APD,9,3.4,6,35.4,2.1,155.7,Retail,TX,0,0,0.0,1000,300,3780.35,Quarterly,67.31,1,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015069,INS-00385,2023-05-15,2023-01-16,2024-01-16,APD,12,4.6,6,38.3,11.7,248.4,construction,GA,0,1,1594.46,1000,1000,9019.05,Annual,43.47,2,,,,,
POL-015070,INS-00438,2023-08-06,2023-06-07,2024-06-06,APD,6,4.9,6,52.5,17.2,105.2,Construction,NY,3,0,41937.34,1000,100,6148.15,Quarterly,1.61,0,1.0,,,,
POL-015071,INS-00232,2023-11-08,2023-10-16,2024-10-15,APD,6,1.5,5,42.4,22.9,84.5,trucking,WA,0,0,0.0,1000,100,3875.53,Annual,7.54,2,0.0,,,,
POL-015072,INS-00087,2024-04-18,2023-10-22,2024-10-21,APD,8,5.6,8,24.1,11.3,246.6,construction,CO,1,1,14088.3,5000,300,10942.06,Monthly,40.03,0,1.0,,,,
POL-015073,INS-00207,2023-03-24,2023-02-01,2024-02-01,APD,6,0.0,11,23.6,1.0,348.2,Construction,OH,2,0,,2500,300,12465.77,Annual,49.04,1,3.0,,,,
POL-015074,INS-00355,2023-09-13,2023-05-30,2024-05-29,APD,9,4.9,1,38.1,2.2,546.2,Trucking,GA,3,1,42335.76,1000,1000,9448.46,Monthly,11.27,4,2.0,,,,
POL-015075,INS-00139,2023-11-08,2023-10-05,2024-10-04,APD,8,1.0,11,38.5,8.7,176.1,Construction,CO,0,0,0.0,250,1000,9378.02,Monthly,36.91,0,1.0,,,,
POL-015076,INS-00470,2023-01-10,2022-07-17,2023-07-17,APD,9,5.7,8,59.1,21.4,,TRUCKING,GA,0,1,12779.64,500,300,6752.52,Monthly,83.56,1,2.0,,,,
POL-015077,INS-00374,2024-04-16,2024-02-24,2025-02-23,APD,9,0.0,5,48.3,4.0,135.3,Service,WA,0,0,0.0,5000,500,8061.0,Quarterly,63.29,3,0.0,,,,
POL-015078,INS-00502,2023-10-18,2023-09-30,2024-09-29,APD,9,7.3,5,,12.7,222.3,Service,PA,0,1,6690.92,500,100,10437.41,Quarterly,43.9,1,0.0,,,,
POL-015079,INS-00073,2024-05-15,2024-05-15,2025-05-15,APD,3,0.0,6,27.7,1.4,140.8,SERVICE,IL,0,0,0.0,5000,1000,8684.54,Quarterly,,2,0.0,,,,
POL-015080,INS-00018,2023-07-30,2023-02-16,2024-02-16,APD,7,5.0,12,38.3,3.4,204.0,TRUCKING,IL,1,0,9938.18,250,300,16607.1,Annual,60.99,2,0.0,,,,
POL-015081,INS-00304,2023-10-11,2023-08-02,2024-08-01,APD,14,1.4,6,,8.0,986.3,Service,OH,1,1,31153.12,1000,100,12561.93,Annual,41.61,2,0.0,,,,
POL-015082,INS-00129,2023-12-31,2023-08-22,2024-08-21,APD,5,3.5,7,32.2,1.4,137.7,Trucking,PA,0,1,60089.62,1000,300,6709.32,Monthly,76.93,2,1.0,,,,
POL-015083,INS-00742,2023-10-11,2023-09-07,2024-09-06,APD,6,6.6,6,41.1,15.5,392.7,Retail,NC,0,0,,2500,500,6248.33,Monthly,38.8,1,1.0,,,,
POL-015084,INS-00434,2023-03-06,2022-11-19,2023-11-19,APD,5,7.5,4,49.1,1.2,108.9,TRUCKING,TX,0,1,,5000,100,6555.47,Monthly,83.42,2,0.0,,,,
POL-015085,INS-00125,2023-08-02,2023-03-05,2024-03-04,APD,11,6.8,9,46.5,2.6,,Trucking,GA,1,0,5937.34,250,300,8392.55,Quarterly,,3,2.0,,,,
POL-015086,INS-00492,2024-06-05,2023-12-17,2024-12-16,APD,8,5.3,4,45.3,1.3,256.2,Construction,TX,2,0,95259.5,500,500,12110.66,Quarterly,22.63,2,0.0,,,,
POL-015087,INS-00569,2024-01-26,2024-01-22,2025-01-21,APD,13,4.9,9,40.2,2.6,258.7,Construction,GA,0,0,0.0,5000,300,4683.67,Monthly,20.79,1,1.0,,,,
POL-015088,INS-00281,2024-05-12,2024-04-25,2025-04-25,APD,7,0.5,6,29.0,2.8,97.8,Retail,IL,0,1,2948.54,2500,300,10004.39,Monthly,12.88,2,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015089,INS-00133,2024-04-10,2024-03-10,2025-03-10,APD,9,9.3,6,49.0,1.4,127.5,SERVICE,NC,0,0,0.0,500,500,6968.65,Monthly,42.12,3,2.0,,,,
POL-015090,INS-00599,2023-05-17,2023-03-18,2024-03-17,APD,14,3.5,8,31.9,1.0,316.2,Construction,IL,0,0,0.0,1000,300,5590.84,Monthly,89.03,3,1.0,,,,
POL-015091,INS-00254,2023-10-17,2023-08-12,2024-08-11,APD,9,2.4,8,32.3,8.9,349.4,Retail,AZ,1,0,21280.75,5000,100,11908.34,Quarterly,72.74,0,1.0,,,,
POL-015092,INS-00292,2024-04-11,2024-03-11,2025-03-11,APD,9,7.6,8,30.4,6.8,215.6,Service,FL,2,0,7215.91,5000,100,6868.19,Annual,96.08,3,0.0,,,,
POL-015093,INS-00485,2024-02-22,2024-02-10,2025-02-09,APD,7,4.7,5,28.4,3.9,203.2,construction,WA,0,0,0.0,2500,1000,7064.53,Monthly,38.01,2,0.0,,,,
POL-015094,INS-00731,2023-04-23,2023-03-26,2024-03-25,APD,9,8.2,4,42.3,7.0,167.0,RIDESHARE,NY,0,1,27966.86,250,300,6580.77,Monthly,82.59,2,0.0,,,,
POL-015095,INS-00639,2024-01-19,2023-11-17,2024-11-16,APD,10,6.1,4,23.9,2.0,,trucking,FL,3,1,33720.7,5000,500,8265.52,Quarterly,74.83,2,,,,,
POL-015096,INS-00627,2023-10-28,2023-05-09,2024-05-08,APD,7,7.5,6,36.5,21.8,381.0,Retail,GA,0,0,0.0,1000,100,9749.02,Monthly,3.8,1,3.0,,,,
POL-015097,INS-00097,2023-08-15,2023-08-01,2024-07-31,APD,8,5.1,6,38.6,2.7,650.9,Service,WA,0,2,10196.44,5000,300,8906.03,Monthly,8.57,2,0.0,,,,
POL-015098,INS-00265,2023-02-15,2022-08-26,2023-08-26,APD,6,5.1,7,47.9,6.7,290.6,Retail,IL,0,0,0.0,250,300,11072.21,Annual,86.06,3,2.0,,,,
POL-015099,INS-00512,2023-07-03,2023-01-19,2024-01-19,APD,8,4.5,6,39.4,20.3,73.9,CONSTRUCTION,FL,0,0,0.0,1000,300,3820.37,Annual,48.49,1,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015100,INS-00201,2024-01-23,2023-08-22,2024-08-21,APD,8,3.9,6,32.8,11.1,82.9,Retail,NY,1,2,15033.73,1000,300,11517.83,Annual,36.62,2,3.0,,,,
POL-015101,INS-00566,2023-09-19,2023-06-05,2024-06-04,APD,8,5.2,9,42.1,4.4,135.2,Retail,GA,0,0,,2500,300,6734.69,Quarterly,61.86,1,0.0,,,,
POL-015102,INS-00206,2023-01-25,2022-11-26,2023-11-26,APD,11,1.8,7,29.4,1.4,,service,GA,1,0,16981.42,2500,300,13473.62,Monthly,41.54,2,2.0,,,,
POL-015103,INS-00173,2024-02-25,2024-01-22,2025-01-21,APD,8,8.4,8,33.2,11.7,202.5,Construction,CO,0,0,0.0,1000,500,5932.77,Annual,22.31,2,0.0,,,,
POL-015104,INS-00488,2024-02-20,2023-09-08,2024-09-07,APD,9,4.8,4,48.8,4.9,295.9,Trucking,GA,1,1,4862.21,500,500,3103.79,Annual,44.76,2,4.0,,,,
POL-015105,INS-00047,2024-01-29,2023-11-26,2024-11-25,APD,6,5.0,6,43.5,1.0,179.1,Service,GA,2,1,9491.94,250,300,6353.62,Annual,10.69,1,,9999-01-01,-999.0,INVALID,-999.0
POL-015106,INS-00678,2023-08-22,2023-03-23,2024-03-22,APD,9,1.4,7,41.0,1.3,375.6,Retail,OH,2,0,3970.43,5000,100,3207.79,Annual,41.33,0,0.0,,,,
POL-015107,INS-00570,2023-03-30,2022-10-17,2023-10-17,APD,5,7.4,6,29.4,10.0,73.6,construction,CA,0,1,24247.92,250,500,5767.82,Monthly,61.09,0,1.0,,,,
POL-015108,INS-00294,2023-06-22,2022-12-31,2023-12-31,APD,9,4.1,5,47.9,13.0,200.0,CONSTRUCTION,CA,0,2,4674.94,2500,300,16354.88,Monthly,65.07,1,2.0,,,,
POL-015109,INS-00406,2023-11-30,2023-07-31,2024-07-30,APD,11,8.7,9,43.1,10.3,306.6,CONSTRUCTION,OH,0,1,2797.13,500,300,20783.73,Quarterly,58.84,2,,,,,
POL-015110,INS-00228,2024-06-16,2024-03-16,2025-03-16,APD,12,0.0,4,43.6,9.5,266.2,Service,CO,0,1,1647.12,1000,100,10228.24,Annual,8.75,3,0.0,,,,
POL-015111,INS-00094,2024-03-12,2024-01-29,2025-01-28,APD,13,0.1,5,37.4,12.9,282.8,Construction,WA,1,1,39685.98,1000,500,3400.32,Monthly,51.09,4,,,,,
POL-015112,INS-00437,2024-04-30,2024-02-14,2025-02-13,APD,8,4.3,6,40.6,25.3,371.4,Trucking,AZ,1,1,78737.16,2500,300,2948.88,Monthly,66.9,0,0.0,,,,
POL-015113,INS-00291,2024-01-06,2023-12-23,2024-12-22,APD,12,8.2,6,49.0,1.0,252.4,Trucking,PA,0,1,25047.93,2500,500,8043.05,Annual,42.64,3,,,,,
POL-015114,INS-00217,2024-02-20,2024-01-24,2025-01-23,APD,9,3.1,7,32.3,1.0,298.7,OTHER,OH,0,1,,500,300,2663.89,,31.97,2,0.0,,,,
POL-015115,INS-00598,2023-01-25,2022-09-12,2023-09-12,APD,8,5.8,3,41.6,7.0,170.7,Service,AZ,0,1,32257.36,1000,100,8607.49,Monthly,77.08,3,2.0,,,,
POL-015116,INS-00384,2024-01-28,2023-08-12,2024-08-11,APD,7,4.2,7,32.6,3.5,385.2,construction,CO,0,0,0.0,5000,300,13050.16,Quarterly,87.39,2,0.0,,,,
POL-015117,INS-00743,2023-04-11,2023-04-02,2024-04-01,APD,11,7.9,7,43.0,3.3,410.9,Other,NY,2,0,34227.33,1000,500,2031.93,Monthly,7.66,3,3.0,,,,
POL-015118,INS-00260,2023-12-02,2023-10-08,2024-10-07,APD,7,8.7,4,28.8,8.5,132.9,Trucking,AZ,1,1,39259.22,1000,100,2883.1,Monthly,25.8,1,3.0,,,,
POL-015119,INS-00252,2024-02-22,2023-09-11,2024-09-10,APD,6,9.4,8,37.0,2.4,448.0,Retail,IL,0,0,,2500,300,11992.03,Annual,83.84,0,3.0,,,,
POL-015120,INS-00517,2023-03-11,2022-10-21,2023-10-21,APD,4,10.9,8,33.8,13.8,201.7,other,NY,0,0,,1000,500,7093.14,Quarterly,,1,0.0,,,,
POL-015121,INS-00435,2023-09-22,2023-05-05,2024-05-04,APD,9,5.1,6,46.3,8.1,159.3,Retail,FL,1,1,4560.26,2500,300,23806.84,Annual,63.45,1,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015122,INS-00742,2023-02-26,2022-11-04,2023-11-04,APD,8,8.3,3,42.2,1.0,,Retail,CA,1,1,73359.13,1000,100,6152.06,Quarterly,,1,0.0,,,,
POL-015123,INS-00371,2024-06-12,2024-04-04,2025-04-04,APD,8,3.6,4,28.4,1.0,827.2,Service,FL,0,1,16853.01,500,300,6217.98,Quarterly,25.7,1,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015124,INS-00311,2023-12-30,2023-08-16,2024-08-15,APD,9,4.5,9,36.4,7.3,96.1,SERVICE,CO,1,0,3915.37,250,500,8823.38,Annual,81.19,4,0.0,,,,
POL-015125,INS-00390,2023-06-10,2023-03-05,2024-03-04,APD,9,3.9,8,36.6,1.0,182.8,Trucking,NC,0,1,23647.6,250,300,6005.64,Annual,80.18,2,1.0,,,,
POL-015126,INS-00123,2023-11-06,2023-07-19,2024-07-18,APD,11,7.0,5,47.0,1.0,360.7,Trucking,CA,1,0,12111.49,250,100,8460.82,Annual,51.59,2,3.0,,,,
POL-015127,INS-00112,2024-04-18,2024-04-18,2025-04-18,APD,3,2.1,4,46.4,3.5,83.5,Construction,IL,0,0,0.0,5000,100,11565.69,Monthly,66.08,1,2.0,,,,
POL-015128,INS-00442,2024-04-26,2024-03-08,2025-03-08,APD,7,3.0,11,40.1,4.2,361.2,Service,NC,0,0,0.0,1000,100,7696.09,Quarterly,39.99,2,1.0,,,,
POL-015129,INS-00586,2023-06-07,2023-05-10,2024-05-09,APD,12,2.7,1,37.7,7.0,208.9,Construction,WA,0,1,6229.98,2500,300,9075.5,,93.79,3,1.0,,,,
POL-015130,INS-00637,2023-11-07,2023-08-10,2024-08-09,APD,7,1.8,3,34.2,1.6,306.5,Construction,CO,1,0,,1000,100,7771.99,Annual,96.23,1,0.0,,,,
POL-015131,INS-00242,2023-04-02,2023-01-09,2024-01-09,APD,11,5.7,5,34.2,4.8,,Retail,CO,2,0,22556.58,2500,500,4290.34,Quarterly,56.95,2,1.0,,,,
POL-015132,INS-00542,2023-03-08,2022-09-21,2023-09-21,APD,2,1.7,4,31.4,13.6,,Construction,TX,0,0,,500,300,6696.51,Quarterly,75.63,1,2.0,,,,
POL-015133,INS-00347,2023-04-04,2022-12-15,2023-12-15,APD,9,3.8,11,22.9,1.5,171.7,Service,CO,0,0,0.0,2500,100,17891.87,Monthly,81.12,1,0.0,,,,
POL-015134,INS-00583,2023-10-06,2023-06-27,2024-06-26,APD,7,6.8,10,38.4,14.1,377.4,trucking,CO,1,1,14565.69,500,500,16147.66,Annual,61.66,4,1.0,,,,
