policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,has_safety_program,num_heavy_vehicles,late_payment_count,claim_count,total_loss_amount,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-014026,INS-02580,2020-02-27,2020-01-11,2021-01-10,AL,9,3.8,7,36.0,4.3,111.5,Trucking,GA,1,0,3777.13,1000,300,3715.83,Monthly,27.82,0,1,0.0,0,0.0,,0.0,No Claim,
POL-011135,INS-02353,2020-05-07,2019-12-04,2020-12-03,AL,8,2.2,7,37.0,5.1,183.0,Retail,NY,0,0,,1000,500,12693.87,Monthly,83.86,1,0,1.0,0,0.0,,0.0,No Claim,
POL-008157,INS-03354,2022-08-05,2022-03-06,2023-03-06,AL,9,1.0,4,37.2,6.4,269.7,Trucking,AZ,2,1,20410.63,1000,300,17422.42,Quarterly,47.87,1,2,,0,0.0,,0.0,No Claim,
POL-014073,INS-02469,2020-05-31,2020-03-07,2021-03-07,AL,4,7.0,8,37.2,1.0,91.8,construction,WA,0,0,0.0,500,500,24955.48,Quarterly,55.74,1,0,1.0,0,0.0,,0.0,No Claim,
POL-002407,INS-00035,2021-02-10,2020-09-05,2021-09-05,APD,7,9.0,8,49.8,36.7,,other,OH,3,0,57038.59,250,500,4180.41,Monthly,49.47,0,1,1.0,0,0.0,,0.0,No Claim,
POL-006077,INS-01870,2020-11-26,2020-07-21,2021-07-21,APD,10,7.5,3,41.3,18.1,218.7,Service,NY,1,0,6713.87,5000,500,8411.65,Monthly,94.95,1,3,0.0,0,0.0,,0.0,No Claim,
POL-008328,INS-02117,2021-08-22,2021-04-10,2022-04-10,AL,3,3.1,4,46.5,16.0,139.1,Trucking,IL,0,0,0.0,250,1000,6732.64,Monthly,3.35,0,2,,0,0.0,,0.0,No Claim,
POL-001262,INS-02393,2022-10-09,2022-07-08,2023-07-08,APD,5,6.5,8,41.4,8.0,119.3,Construction,GA,0,0,0.0,1000,300,6433.31,Annual,49.73,1,0,1.0,0,0.0,,0.0,No Claim,
POL-014420,INS-00104,2021-04-15,2021-02-25,2022-02-25,AL,11,8.2,5,50.7,3.6,212.8,Trucking,OH,2,0,34493.41,2500,300,17030.86,Monthly,,1,2,1.0,0,0.0,,0.0,No Claim,
POL-010605,INS-00133,2022-06-08,2022-03-22,2023-03-22,AL,8,0.0,3,55.7,1.0,386.6,Construction,IL,1,0,4021.97,5000,300,7068.2,Quarterly,45.03,1,2,2.0,0,0.0,,0.0,No Claim,
POL-000477,INS-01059,2022-07-16,2022-07-05,2023-07-05,APD,10,4.7,8,36.6,24.6,548.8,service,TX,0,0,0.0,500,300,22393.86,Quarterly,91.59,1,2,0.0,0,0.0,,0.0,No Claim,
POL-009192,INS-03069,2020-02-22,2019-10-22,2020-10-21,AL,8,6.0,3,41.0,2.2,173.6,trucking,IL,1,0,7009.14,5000,300,28051.61,Annual,49.21,0,1,0.0,0,0.0,,0.0,No Claim,
POL-000488,INS-03441,2021-08-04,2021-06-07,2022-06-07,APD,7,4.5,7,60.0,13.9,118.1,Construction,WA,2,1,15356.33,1000,500,14511.21,Quarterly,44.98,0,0,1.0,0,0.0,,0.0,No Claim,
POL-000380,INS-02405,2020-10-14,2020-09-28,2021-09-28,APD,12,8.5,2,46.0,4.0,245.8,Trucking,WA,0,0,0.0,2500,500,6726.29,Annual,95.7,0,2,0.0,0,0.0,,0.0,No Claim,
POL-010960,INS-01627,2022-04-01,2022-01-03,2023-01-03,AL,6,2.9,3,30.0,7.9,261.8,Construction,NC,0,0,0.0,250,1000,25221.27,Monthly,23.57,0,1,0.0,0,0.0,,0.0,No Claim,
POL-003861,INS-03655,2021-08-18,2021-03-20,2022-03-20,APD,6,3.9,7,43.2,3.5,114.4,Trucking,WA,2,0,19005.87,5000,300,10029.34,Annual,79.49,0,1,3.0,0,0.0,,0.0,No Claim,
POL-001324,INS-03717,2022-08-28,2022-08-19,2023-08-19,APD,11,2.2,7,43.3,16.0,129.0,SERVICE,OH,0,1,5149.1,1000,300,5914.42,Annual,85.92,0,1,2.0,0,0.0,,0.0,No Claim,
POL-002907,INS-02492,2021-11-15,2021-09-23,2022-09-23,APD,7,6.9,8,35.7,22.3,90.9,Construction,WA,1,0,7001.37,2500,100,4359.69,Quarterly,80.15,1,0,1.0,0,0.0,,0.0,No Claim,
POL-005203,INS-01913,2022-07-04,2022-03-15,2023-03-15,APD,9,4.1,10,42.7,6.7,214.5,Construction,WA,1,1,46232.32,2500,300,2000.0,Quarterly,20.0,0,3,3.0,0,0.0,,0.0,No Claim,
POL-001492,INS-01554,2021-06-20,2021-04-17,2022-04-17,APD,10,10.6,10,37.5,3.2,204.0,Other,CO,0,0,0.0,500,300,5481.95,Monthly,92.69,1,1,0.0,2,10090.28,2021-07-31,7500.19,Open,41.0
POL-013500,INS-00678,2020-11-24,2020-06-18,2021-06-18,AL,8,4.9,4,49.0,5.8,289.6,Other,TX,0,0,0.0,2500,1000,14488.9,,70.91,0,1,1.0,0,0.0,,0.0,No Claim,
POL-007337,INS-03156,2022-11-27,2022-07-23,2023-07-23,APD,7,9.9,8,38.2,18.8,162.0,TRUCKING,CA,0,0,0.0,5000,500,15539.96,Monthly,7.76,1,0,2.0,0,0.0,,0.0,No Claim,
POL-001656,INS-00635,2020-09-10,2020-08-27,2021-08-27,APD,10,4.3,5,28.7,1.7,135.8,Service,NY,0,1,7222.46,250,300,25000.0,Annual,46.7,0,1,,0,0.0,,0.0,No Claim,
POL-000543,INS-01234,2020-08-01,2020-02-07,2021-02-06,APD,13,4.2,3,40.0,10.3,267.1,Service,NC,4,0,20770.54,1000,300,16349.87,Annual,23.81,0,2,1.0,1,1178.88,2020-09-16,979.77,Under Review,46.0
POL-000150,INS-01732,2020-03-04,2019-10-26,2020-10-25,APD,6,5.6,7,42.0,3.4,266.3,Trucking,NY,1,1,30693.73,5000,1000,9213.81,Monthly,74.75,1,1,1.0,0,0.0,,0.0,No Claim,
POL-002406,INS-00370,2022-06-26,2022-05-15,2023-05-15,APD,12,0.0,5,37.8,1.0,350.6,Retail,CA,1,2,85440.92,5000,500,9157.52,Annual,89.38,1,1,,1,5882.8,2022-08-02,3702.46,Open,37.0
POL-006707,INS-00893,2020-01-26,2019-08-26,2020-08-25,APD,2,3.7,6,50.4,1.0,28.3,Trucking,GA,0,0,0.0,500,300,10376.43,Annual,61.2,0,0,0.0,0,0.0,,0.0,No Claim,
POL-011343,INS-01502,2022-02-07,2021-09-27,2022-09-27,AL,17,6.8,4,39.1,8.8,281.9,Trucking,FL,0,0,0.0,2500,1000,15840.03,,47.2,0,6,1.0,0,0.0,,0.0,No Claim,
POL-007857,INS-03631,2022-05-08,2021-12-15,2022-12-15,AL,8,7.5,6,31.4,19.8,493.8,Trucking,WA,0,0,0.0,5000,300,12889.7,Quarterly,2.16,0,0,1.0,0,0.0,,0.0,No Claim,
POL-012175,INS-02106,2021-03-18,2020-12-06,2021-12-06,AL,3,7.3,5,51.8,3.2,45.0,Retail,PA,0,0,0.0,500,500,3551.79,,15.0,0,0,0.0,1,35251.64,2021-05-11,28496.04,Closed,54.0
POL-002232,INS-02189,2020-03-17,2020-02-26,2021-02-25,APD,11,6.4,5,48.7,14.5,483.4,Service,NC,1,0,,2500,300,9405.26,Monthly,60.63,1,1,1.0,0,0.0,,0.0,No Claim,
POL-011218,INS-01349,2021-09-22,2021-05-14,2022-05-14,AL,10,4.8,6,34.6,4.1,342.0,Construction,GA,1,0,41030.36,250,300,17411.49,Monthly,,1,2,0.0,0,0.0,,0.0,No Claim,
POL-007473,INS-00993,2020-08-29,2020-06-19,2021-06-19,APD,16,7.1,10,29.0,1.0,102.1,OTHER,FL,0,0,0.0,500,300,6375.63,Annual,31.21,0,5,0.0,0,0.0,,0.0,No Claim,
POL-010187,INS-00034,2020-08-10,2020-06-26,2021-06-26,AL,9,6.9,4,42.1,1.6,239.8,Trucking,NC,1,0,4217.63,250,500,23616.39,Quarterly,20.88,1,3,1.0,0,0.0,,0.0,No Claim,
POL-004430,INS-00656,2022-10-06,2022-06-04,2023-06-04,APD,8,7.3,2,32.0,1.0,150.6,Trucking,FL,0,0,0.0,2500,500,8323.65,Annual,,1,0,0.0,1,1226.91,2022-11-23,926.1,Open,48.0
POL-010543,INS-03559,2022-08-27,2022-03-01,2023-03-01,AL,8,5.6,5,36.6,10.7,333.0,Trucking,NC,2,1,25437.98,250,500,14554.88,Quarterly,28.6,1,1,3.0,0,0.0,,0.0,No Claim,
POL-007071,INS-02542,2020-11-22,2020-10-22,2021-10-22,APD,14,8.4,10,47.7,2.3,,Service,GA,3,1,64026.57,2500,100,4198.47,Quarterly,53.66,0,3,1.0,1,8780.41,2020-12-30,5501.99,Closed,38.0
POL-005548,INS-03458,2020-02-23,2020-01-15,2021-01-14,APD,11,5.7,3,39.8,13.6,216.5,SERVICE,PA,1,0,2999.24,2500,100,25000.0,Quarterly,14.08,0,4,1.0,0,0.0,,0.0,No Claim,
POL-010361,INS-00869,2021-12-11,2021-08-27,2022-08-27,AL,7,4.0,6,52.5,17.8,163.3,Service,IL,0,0,0.0,500,1000,17937.02,Monthly,35.29,0,1,1.0,0,0.0,,0.0,No Claim,
POL-013518,INS-03079,2020-05-28,2020-02-25,2021-02-24,AL,6,8.1,10,41.2,7.3,108.7,TRUCKING,NC,0,0,0.0,1000,300,6908.25,Quarterly,59.76,1,1,1.0,0,0.0,,0.0,No Claim,
POL-010791,INS-01017,2021-09-12,2021-08-03,2022-08-03,AL,8,6.3,9,39.3,26.3,81.9,Trucking,CO,0,0,0.0,1000,500,13535.74,Annual,72.98,1,1,3.0,0,0.0,,0.0,No Claim,
POL-011276,INS-01786,2021-09-25,2021-05-05,2022-05-05,AL,6,9.4,6,45.8,6.0,116.6,Service,CA,1,1,13567.21,2500,500,8360.99,Monthly,82.38,1,1,0.0,0,0.0,,0.0,No Claim,
POL-000567,INS-00888,2020-09-06,2020-07-30,2021-07-30,APD,9,0.0,7,,8.3,366.3,trucking,CO,1,0,15987.66,2500,300,11981.64,Annual,12.65,0,0,0.0,1,4772.75,2020-10-13,2980.24,Open,37.0
POL-009418,INS-01351,2021-05-03,2021-04-22,2022-04-22,AL,2,0.7,8,38.7,1.0,66.2,trucking,TX,0,1,5242.62,2500,300,10604.47,Monthly,98.79,1,1,4.0,0,0.0,,0.0,No Claim,
POL-007349,INS-01465,2022-10-09,2022-09-12,2023-09-12,APD,9,10.8,9,39.1,16.0,276.7,Trucking,PA,4,0,22819.73,250,500,4068.08,Monthly,10.81,0,2,0.0,2,6114.98,2022-11-27,4336.79,Open,49.0
POL-014445,INS-03627,2022-02-13,2022-01-04,2023-01-04,AL,8,4.0,4,43.9,13.2,312.5,Trucking,WA,0,0,0.0,500,500,8272.98,Monthly,32.84,1,1,,0,0.0,,0.0,No Claim,
POL-011103,INS-02855,2020-03-17,2019-10-14,2020-10-13,AL,5,11.8,5,47.8,22.9,51.8,trucking,OH,1,1,12379.21,500,100,40000.0,Quarterly,12.81,1,0,0.0,0,0.0,,0.0,No Claim,
POL-003112,INS-00243,2022-04-15,2021-12-23,2022-12-23,APD,10,1.9,11,36.4,5.6,293.1,Other,TX,0,2,13410.63,1000,300,13992.81,Quarterly,90.04,1,0,1.0,0,0.0,,0.0,No Claim,
POL-008383,INS-00077,2022-11-12,2022-08-23,2023-08-23,AL,12,3.1,4,37.8,3.1,,trucking,IL,1,1,2359.33,5000,500,3856.1,Annual,51.91,1,2,1.0,0,0.0,,0.0,No Claim,
POL-011348,INS-00968,2020-08-11,2020-06-28,2021-06-28,AL,15,10.2,9,38.9,7.9,732.6,Retail,TX,3,2,22384.07,500,1000,8799.26,Annual,91.15,1,3,0.0,1,120343.34,2020-09-27,82234.63,Under Review,47.0
POL-005187,INS-03241,2022-08-03,2022-06-04,2023-06-04,APD,9,7.5,11,53.8,5.4,538.9,Retail,GA,0,0,0.0,2500,500,10267.2,Monthly,1.52,1,0,0.0,0,0.0,,0.0,No Claim,
POL-001088,INS-02522,2022-12-20,2022-09-05,2023-09-05,APD,6,5.3,7,56.3,12.5,104.9,Trucking,TX,0,0,0.0,1000,300,9780.9,Quarterly,54.82,0,1,0.0,0,0.0,,0.0,No Claim,
POL-003194,INS-00208,2020-07-29,2020-03-21,2021-03-21,APD,9,4.5,6,50.9,20.4,248.3,Service,PA,1,0,2823.07,5000,1000,3784.76,Annual,81.47,0,2,0.0,0,0.0,,0.0,No Claim,
POL-012332,INS-02951,2020-01-15,2019-07-24,2020-07-23,AL,6,5.4,4,45.2,5.4,43.0,Trucking,GA,0,1,7921.97,500,500,7308.15,Quarterly,24.28,1,1,1.0,0,0.0,,0.0,No Claim,
POL-009397,INS-01936,2020-12-04,2020-11-19,2021-11-19,AL,9,3.5,4,38.9,7.7,423.1,service,CA,2,0,18317.54,2500,300,6730.3,Quarterly,36.85,1,4,2.0,0,0.0,,0.0,No Claim,
POL-005071,INS-00437,2022-09-22,2022-08-18,2023-08-18,APD,10,3.2,7,30.2,8.1,253.7,service,NC,1,0,1983.89,2500,500,5523.06,Monthly,29.84,1,1,,0,0.0,,0.0,No Claim,
POL-009026,INS-00848,2020-03-25,2020-03-22,2021-03-22,AL,9,4.1,4,51.4,1.6,619.8,trucking,NY,2,2,4699.37,1000,300,17042.52,Monthly,50.37,0,1,0.0,0,0.0,,0.0,No Claim,
POL-010507,INS-03512,2021-01-02,2020-09-25,2021-09-25,AL,9,5.3,2,44.9,7.7,271.1,Service,NC,1,0,26641.51,250,300,4512.55,Monthly,7.34,1,0,0.0,0,0.0,,0.0,No Claim,
POL-004609,INS-01085,2022-08-13,2022-06-27,2023-06-27,APD,9,7.2,3,45.7,3.9,392.8,service,WA,0,0,0.0,1000,500,2524.64,Quarterly,82.99,0,5,0.0,0,0.0,,0.0,No Claim,
POL-007019,INS-03314,2021-05-23,2021-03-21,2022-03-21,APD,7,3.4,1,41.0,2.5,200.3,Trucking,TX,0,1,3781.08,500,500,9892.01,Annual,24.94,1,1,0.0,1,2320.08,2021-07-05,2136.26,Closed,43.0
POL-003785,INS-03172,2022-12-14,2022-08-23,2023-08-23,APD,10,2.9,4,41.7,15.5,282.1,Construction,TX,1,0,9582.9,2500,500,9844.8,Annual,48.58,0,0,0.0,1,2031.94,2023-02-09,1408.69,Open,57.0
POL-014830,INS-01764,2022-07-12,2022-05-08,2023-05-08,AL,8,6.8,3,40.5,22.3,309.8,Retail,TX,1,0,9217.97,500,500,11689.56,Annual,64.1,1,3,0.0,0,0.0,,0.0,No Claim,
POL-008471,INS-00042,2022-03-14,2022-01-23,2023-01-23,AL,7,0.0,6,47.3,4.6,178.7,RETAIL,CO,0,0,0.0,2500,1000,30879.45,Monthly,34.35,0,0,0.0,0,0.0,,0.0,No Claim,
POL-011323,INS-02599,2020-11-22,2020-09-15,2021-09-15,AL,6,6.4,9,39.3,21.2,236.1,Retail,CO,1,0,3294.06,500,500,8766.57,Annual,23.56,1,2,1.0,0,0.0,,0.0,No Claim,
POL-005050,INS-01415,2022-09-25,2022-09-19,2023-09-19,APD,12,4.2,6,51.2,12.0,709.2,Other,TX,1,1,19629.15,250,300,9352.68,Monthly,71.5,0,3,0.0,0,0.0,,0.0,No Claim,
POL-003479,INS-00928,2021-03-24,2020-12-01,2021-12-01,APD,6,7.4,4,36.1,9.8,519.6,Service,CA,0,0,0.0,1000,300,8168.49,Monthly,76.28,0,3,1.0,0,0.0,,0.0,No Claim,
POL-003326,INS-01837,2022-05-07,2022-03-09,2023-03-09,APD,7,5.0,7,49.4,5.3,389.4,Retail,OH,1,0,29777.59,1000,1000,9855.3,Monthly,26.82,0,1,0.0,0,0.0,,0.0,No Claim,
POL-002272,INS-01654,2020-12-14,2020-07-15,2021-07-15,APD,10,6.8,5,49.9,3.5,95.7,Trucking,FL,0,0,0.0,1000,500,3633.76,Annual,40.24,1,4,0.0,0,0.0,,0.0,No Claim,
POL-008511,INS-02159,2022-07-18,2022-04-22,2023-04-22,AL,14,6.5,4,48.8,5.4,248.1,Construction,FL,0,2,4080.14,250,300,17566.56,Monthly,70.81,1,0,0.0,0,0.0,,0.0,No Claim,
POL-008880,INS-00327,2022-05-04,2021-12-01,2022-12-01,AL,12,5.5,7,48.5,3.8,244.8,service,TX,0,0,0.0,250,500,29095.02,Quarterly,48.69,1,2,3.0,0,0.0,,0.0,No Claim,
POL-011901,INS-00027,2020-06-18,2020-02-27,2021-02-26,AL,7,6.4,8,40.2,1.0,331.7,Service,CO,1,1,,500,500,12941.26,Annual,95.25,0,4,0.0,0,0.0,,0.0,No Claim,
POL-011443,INS-00175,2022-02-02,2021-10-01,2022-10-01,AL,9,9.9,5,47.1,3.2,150.1,Trucking,CO,1,1,,250,500,8782.06,Annual,23.78,0,3,2.0,0,0.0,,0.0,No Claim,
POL-009267,INS-02340,2020-01-06,2019-09-05,2020-09-04,AL,11,5.3,6,35.4,11.4,111.4,Retail,AZ,0,3,13088.35,2500,300,11432.18,Annual,77.11,1,3,0.0,0,0.0,,0.0,No Claim,
POL-005956,INS-02135,2022-02-16,2021-12-29,2022-12-29,APD,11,8.3,6,44.9,1.5,250.8,Service,NY,2,1,13813.38,1000,100,25000.0,Monthly,69.15,0,2,0.0,0,0.0,,0.0,No Claim,
POL-010292,INS-01045,2020-03-15,2020-01-15,2021-01-14,AL,4,9.1,5,32.2,11.0,129.5,Trucking,FL,0,1,20040.01,500,300,6601.59,Monthly,6.45,1,0,0.0,0,0.0,,0.0,No Claim,
POL-004140,INS-02539,2021-07-06,2021-04-24,2022-04-24,APD,8,7.0,4,38.4,13.5,192.8,Trucking,IL,1,1,9998.71,250,100,9373.51,Quarterly,95.9,0,1,1.0,0,0.0,,0.0,No Claim,
POL-010649,INS-02652,2022-06-12,2022-06-06,2023-06-06,AL,10,4.8,6,29.8,5.6,231.4,Trucking,OH,1,0,6179.53,500,1000,9570.64,Annual,41.8,1,1,1.0,0,0.0,,0.0,No Claim,
POL-008730,INS-01033,2020-06-22,2020-06-16,2021-06-16,AL,9,2.6,8,43.8,1.7,298.0,Other,WA,0,1,5592.22,500,300,9114.73,Monthly,34.99,1,3,2.0,0,0.0,,0.0,No Claim,
POL-009394,INS-01768,2021-01-13,2020-11-13,2021-11-13,AL,10,6.4,10,36.9,3.0,615.6,trucking,NC,0,0,0.0,5000,500,34721.56,Quarterly,,0,3,3.0,1,15599.68,2021-03-01,13601.77,Open,47.0
POL-003345,INS-02723,2021-08-11,2021-03-27,2022-03-27,APD,7,6.0,3,33.4,14.9,166.7,OTHER,PA,1,0,2703.9,2500,300,3989.68,Quarterly,49.99,1,2,1.0,1,8694.09,2021-09-21,5392.32,Closed,41.0
POL-012079,INS-02730,2021-06-14,2020-12-26,2021-12-26,AL,5,4.4,7,39.7,5.6,70.0,construction,PA,1,0,5612.04,5000,300,22237.46,Quarterly,45.04,0,0,,0,0.0,,0.0,No Claim,
POL-008404,INS-00114,2022-06-01,2021-12-10,2022-12-10,AL,7,4.7,10,46.2,11.8,95.9,Trucking,IL,0,0,0.0,5000,100,14942.8,Quarterly,4.63,0,0,0.0,0,0.0,,0.0,No Claim,
POL-010376,INS-01693,2022-07-18,2022-03-11,2023-03-11,AL,15,5.2,3,45.2,1.4,377.4,TRUCKING,IL,1,0,16652.92,250,300,20033.18,Annual,33.28,1,6,,0,0.0,,0.0,No Claim,
POL-010324,INS-01688,2020-08-16,2020-02-20,2021-02-19,AL,6,10.2,4,39.6,6.6,85.8,Trucking,GA,0,0,0.0,500,300,8333.88,Monthly,25.88,0,0,1.0,0,0.0,,0.0,No Claim,
POL-007054,INS-03263,2020-04-28,2020-02-18,2021-02-17,APD,11,8.3,3,47.0,23.5,290.9,Construction,CO,1,1,3765.45,250,300,3951.25,Annual,67.26,1,2,1.0,0,0.0,,0.0,No Claim,
POL-005206,INS-02869,2021-05-15,2020-12-29,2021-12-29,APD,7,2.0,6,43.0,1.0,97.1,Construction,FL,0,0,0.0,250,100,16535.15,Quarterly,,1,0,1.0,0,0.0,,0.0,No Claim,
POL-002590,INS-00742,2021-01-13,2020-11-30,2021-11-30,APD,7,5.6,9,47.2,3.9,61.9,TRUCKING,FL,0,0,0.0,1000,300,5923.4,Quarterly,89.22,0,2,0.0,1,3356.55,2021-03-04,2912.76,Under Review,50.0
POL-007318,INS-01225,2022-08-21,2022-05-07,2023-05-07,APD,8,6.8,6,46.1,19.9,372.8,Trucking,NY,0,0,0.0,2500,1000,5595.55,Annual,61.81,1,2,0.0,0,0.0,,0.0,No Claim,
POL-007435,INS-02512,2021-03-25,2021-03-24,2022-03-24,APD,5,4.6,2,52.3,36.5,132.0,Trucking,TX,0,0,0.0,250,500,10213.1,Annual,98.16,0,0,2.0,1,3288.59,2021-05-11,3101.54,Under Review,47.0
POL-007460,INS-01243,2022-04-08,2021-10-27,2022-10-27,APD,11,9.5,5,42.3,5.4,285.9,Construction,CA,0,1,6782.97,2500,100,3462.67,Quarterly,46.49,0,3,4.0,0,0.0,,0.0,No Claim,
POL-002754,INS-03283,2021-12-14,2021-09-26,2022-09-26,APD,11,5.8,8,46.5,4.3,216.8,Retail,FL,0,0,0.0,5000,500,4943.56,Quarterly,95.91,0,1,0.0,0,0.0,,0.0,No Claim,
POL-005953,INS-03611,2020-07-31,2020-06-04,2021-06-04,APD,3,1.8,7,51.2,1.0,,Construction,FL,1,0,7609.9,2500,500,10440.4,Annual,91.37,0,1,0.0,0,0.0,,0.0,No Claim,
POL-006019,INS-02938,2022-04-10,2021-10-31,2022-10-31,APD,5,3.0,6,41.6,10.6,199.1,trucking,FL,0,0,0.0,5000,500,10794.73,Annual,24.41,1,4,,0,0.0,,0.0,No Claim,
POL-012330,INS-03460,2020-07-13,2020-04-12,2021-04-12,AL,5,7.3,5,38.3,2.2,108.5,Retail,GA,1,0,2379.52,500,500,7615.45,Quarterly,51.62,1,0,1.0,0,0.0,,0.0,No Claim,
POL-012084,INS-01105,2022-02-08,2021-09-12,2022-09-12,AL,4,1.5,1,36.4,13.3,209.4,Construction,AZ,0,0,0.0,5000,1000,7177.16,Monthly,74.92,1,2,0.0,0,0.0,,0.0,No Claim,
POL-010406,INS-02603,2022-03-11,2021-09-20,2022-09-20,AL,4,0.0,6,43.1,3.3,23.9,construction,FL,0,0,0.0,1000,300,8680.8,Annual,44.58,1,0,1.0,0,0.0,,0.0,No Claim,
POL-000252,INS-03677,2021-06-24,2021-04-11,2022-04-11,APD,4,6.2,11,39.2,2.8,152.2,Retail,WA,0,0,0.0,1000,1000,3724.83,Annual,68.28,1,0,1.0,0,0.0,,0.0,No Claim,
POL-011850,INS-01592,2020-01-25,2019-08-18,2020-08-17,AL,12,3.3,2,47.8,14.8,121.9,Retail,PA,1,0,26490.57,1000,300,10583.74,Annual,76.13,0,1,0.0,0,0.0,,0.0,No Claim,
POL-001714,INS-01696,2022-03-14,2021-10-11,2022-10-11,APD,9,8.4,4,35.4,4.1,205.1,Retail,FL,2,0,17084.53,250,300,7865.7,Quarterly,33.91,1,2,0.0,0,0.0,,0.0,No Claim,
POL-006779,INS-03725,2020-06-05,2020-01-13,2021-01-12,APD,7,7.3,6,31.8,3.6,134.6,Retail,IL,1,0,2157.79,250,500,9283.66,Monthly,40.41,0,1,2.0,1,1374.02,2020-07-13,979.97,Open,38.0
POL-003708,INS-00465,2022-04-07,2021-10-26,2022-10-26,APD,3,6.3,6,41.7,1.0,58.7,Retail,OH,0,0,0.0,5000,500,4063.93,Quarterly,50.97,1,0,0.0,0,0.0,,0.0,No Claim,
POL-007860,INS-03020,2020-09-20,2020-07-30,2021-07-30,AL,7,6.8,11,34.0,9.3,217.9,Retail,CO,0,0,0.0,250,100,7165.02,Quarterly,64.83,0,0,1.0,0,0.0,,0.0,No Claim,
POL-009531,INS-01253,2022-05-17,2021-12-10,2022-12-10,AL,12,5.4,7,33.4,16.3,186.8,Construction,AZ,1,1,54628.15,1000,300,9079.7,Annual,70.02,1,2,,0,0.0,,0.0,No Claim,
POL-014060,INS-03453,2022-06-21,2022-06-15,2023-06-15,AL,4,5.8,10,46.6,40.0,255.9,Retail,CA,0,1,10846.14,1000,500,19632.97,Quarterly,21.15,0,1,,0,0.0,,0.0,No Claim,
POL-009593,INS-01852,2020-11-17,2020-11-12,2021-11-12,AL,4,4.0,9,45.2,1.2,30.2,service,OH,0,0,0.0,250,1000,10780.47,Annual,47.15,0,2,0.0,0,0.0,,0.0,No Claim,
POL-010578,INS-00931,2021-11-11,2021-07-21,2022-07-21,AL,9,7.1,6,45.7,13.9,239.9,Construction,WA,0,0,0.0,2500,100,22956.64,Monthly,80.75,0,0,0.0,0,0.0,,0.0,No Claim,
